ANIO,MES,PLACA,OFICINA,SERIE,USO,CLASEAAP,SUBCLASE,CARROCERIA,MARCA,MODELO,ORIGEN,COMBUSTIBLE,FORMULA,PBV,ASIENTOS,ANIOFAB
2019,ABRIL,BAF860,LIMA,1M1AN4HY0KM001670,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,25000,2,2018
2019,ABRIL,BAG736,LIMA,1M1AN4HY5KM001650,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,25000,2,2018
2019,ABRIL,BAF913,LIMA,1M1AN4HY9KM001652,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,25000,2,2018
2019,ABRIL,BAF779,LIMA,1M1AN4HY0KM001653,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,25000,2,2018
2019,ABRIL,BAF783,LIMA,1M1AN4HY7KM001648,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,25000,2,2018
2019,MARZO,AZV772,LIMA,1M1AW07Y9KM090081,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,CXU613E,UNITED STATES                                               ,DIESEL,6X4,27600,2,2018
2019,MARZO,AZT807,LIMA,1M1AN4HY6KM001219,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,27600,2,2018
2019,MARZO,AZR855,LIMA,1M1AN4HY5KM001213,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,27600,2,2018
2019,MARZO,AZX809,LIMA,1M1AN4HYXKM001644,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,27600,2,2018
2019,MARZO,AZU929,LIMA,1M1AN4HY3KM001274,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,27600,2,2018
2019,MARZO,AZS756,LIMA,1M1AN4HY3KM001372,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,27600,2,2018
2019,MARZO,AZR934,LIMA,1M1AN4HY8KM001206,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,27600,2,2018
2019,MARZO,AZX927,LIMA,1M1AN4HY9KM001635,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,27600,2,2018
2019,MARZO,AZV889,LIMA,1M1AN4HY3KM001498,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,27600,2,2018
2019,MARZO,AZU839,LIMA,1M1AN4HY2KM001461,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,27600,2,2018
2019,MARZO,AZY816,LIMA,1M1AN4HY7KM001634,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,27600,2,2018
2019,MARZO,AZX916,LIMA,1M1AN4HY0KM001636,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,27600,2,2018
2019,FEBRERO,T9V945,TRUJILLO,1M1AN4HY4KM001445,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,27600,2,2019
2019,FEBRERO,T9V898,TRUJILLO,1M1AN4HY7KM001472,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,27600,2,2019
2019,FEBRERO,V0G839,AREQUIPA,1M1AN4HY3KM001453,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,27600,2,2019
2019,FEBRERO,T9V880,TRUJILLO,1M1AN4HY0KM001460,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,27600,2,2019
2019,FEBRERO,T9V879,TRUJILLO,1M1AN4HY6KM001303,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,27600,2,2019
2019,FEBRERO,T9V932,TRUJILLO,1M1AN4HY3KM001260,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,27600,2,2019
2019,FEBRERO,AZP793,LIMA,1M1AN4HY1KM001497,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,27600,2,2019
2019,FEBRERO,T9V942,TRUJILLO,1M1AN4HY5KM001471,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,27600,2,2019
2019,FEBRERO,T9V896,TRUJILLO,1M1AN4HY1KM001452,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,27600,2,2019
2019,FEBRERO,AZL745,LIMA,1M1AN4HYXKM001479,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,27600,2,2019
2019,FEBRERO,AZK860,LIMA,1M1AN4HY0KM001393,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,27600,2,2019
2019,FEBRERO,T9V889,TRUJILLO,1M1AN4HY9KM001473,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,27600,2,2019
2019,FEBRERO,T9V888,TRUJILLO,1M1AN4HY7KM001455,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,27600,2,2019
