AÑO;MARCA;MODELO;CAMIONES/ TRACTO;CARROCERIA;AÑO FAB;P.BRUTO;ORIGEN;FORMULA RODANTE;ENERO;FEBRERO;MARZO;ABRIL;MAYO;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE;TTL;PER - Origen  de Marca;TYPE;"VOLVO / MACK 
SEGMENTATION";PER - CLAS. FINAL;"CODIGO 
VINCULADOR
(APLICATION SEGMENT)";"APLICATION
SEGMENTS"
2013;VOLVO;FH 6X4T;TRACTOCAMIONES;REMOLCADOR;2013;28100;BRASIL;6X4;0;7;75;31;22;37;39;39;30;35;0;0;315;Europea;TRACTO;APLICA;HDV;VOLVO FH 6X4THDV6X4;Demanding Long Haul
2013;VOLVO;FH 6X4T;TRACTOCAMIONES;REMOLCADOR;2013;28100;SUECIA;6X4;0;0;0;43;45;53;21;9;7;4;0;0;182;Europea;TRACTO;APLICA;HDV;VOLVO FH 6X4THDV6X4;Demanding Long Haul
2013;VOLVO;FM 6X4T;TRACTOCAMIONES;REMOLCADOR;2012;34000;BRASIL;6X4;0;0;1;0;0;0;0;0;0;0;0;0;1;Europea;TRACTO;APLICA;HDV;VOLVO FM 6X4THDV6X4;Demanding Long Haul
2013;VOLVO;FM 6X4T;TRACTOCAMIONES;REMOLCADOR;2013;34000;BRASIL;6X4;0;0;0;0;2;0;1;1;2;0;0;0;6;Europea;TRACTO;APLICA;HDV;VOLVO FM 6X4THDV6X4;Demanding Long Haul
2013;VOLVO;FM11 4X2R;CAMIONES;CABINADO;2012;20100;BRASIL;4X2;0;0;0;0;0;0;1;0;0;0;0;0;1;Europea;RIGID;APLICA;MHDV;VOLVO FM11 4X2RCABINADO4X2MHDV;Distribution
2013;VOLVO;FM11 6X4T;TRACTOCAMIONES;REMOLCADOR;2013;28100;SUECIA;6X4;0;0;0;0;0;0;6;0;0;0;0;0;6;Europea;TRACTO;APLICA;HDV;VOLVO FM11 6X4THDV6X4;Economic Long Haul
2013;VOLVO;FMX 4X2R;CAMIONES;CABINADO;2012;30000;SUECIA;4X2;0;1;0;0;0;0;0;0;0;0;0;0;1;Europea;RIGID;APLICA;HDV;VOLVO FMX 4X2RCABINADO4X2MHDV;Distribution
2013;VOLVO;FMX 6X4R;CAMIONES;CABINADO;2013;41000;SUECIA;6X4;0;0;0;0;1;0;0;0;0;0;0;0;1;Europea;RIGID;APLICA;HDV;VOLVO FMX 6X4RCABINADO6X4HDV;Heavy Construction and Mining
2013;VOLVO;FMX 6X4R;CAMIONES;CABINADO;2012;41000;BRASIL;6X4;0;0;0;0;0;0;0;0;0;0;1;37;38;Europea;RIGID;APLICA;HDV;VOLVO FMX 6X4RCABINADO6X4HDV;Heavy Construction and Mining
2013;VOLVO;FMX 6X4R;CAMIONES;CABINADO;2012;41000;BRASIL;6X4;74;32;21;41;36;1;6;5;0;3;0;0;219;Europea;RIGID;APLICA;HDV;VOLVO FMX 6X4RCABINADO6X4HDV;Heavy Construction and Mining
2013;VOLVO;FMX 6X4R;CAMIONES;CABINADO;2012;41000;SUECIA;6X4;1;0;0;0;0;0;0;0;0;0;0;0;1;Europea;RIGID;APLICA;HDV;VOLVO FMX 6X4RCABINADO6X4HDV;Heavy Construction and Mining
2013;VOLVO;FMX 6X4R;CAMIONES;CABINADO;2013;41000;BELGICA;6X4;0;0;0;0;0;0;0;0;0;0;2;1;3;Europea;RIGID;APLICA;HDV;VOLVO FMX 6X4RCABINADO6X4HDV;Heavy Construction and Mining
2013;VOLVO;FMX 6X4R;CAMIONES;CABINADO;2013;41000;BRASIL;6X4;0;0;0;0;0;0;0;0;0;0;44;6;50;Europea;RIGID;APLICA;HDV;VOLVO FMX 6X4RCABINADO6X4HDV;Heavy Construction and Mining
2013;VOLVO;FMX 6X4R;CAMIONES;CABINADO;2013;41000;SUECIA;6X4;0;0;0;0;0;0;0;0;0;0;3;3;6;Europea;RIGID;APLICA;HDV;VOLVO FMX 6X4RCABINADO6X4HDV;Heavy Construction and Mining
2013;VOLVO;FMX 6X4R;CAMIONES;CABINADO;2013;41000;BRASIL;6X4;0;0;0;0;0;0;0;0;1;0;0;0;1;Europea;RIGID;APLICA;HDV;VOLVO FMX 6X4RCABINADO6X4HDV;Heavy Construction and Mining
2013;VOLVO;FMX 6X4R;CAMIONES;CABINADO;2013;41000;BELGICA;6X4;0;0;0;0;0;0;0;0;0;5;0;0;5;Europea;RIGID;APLICA;HDV;VOLVO FMX 6X4RCABINADO6X4HDV;Heavy Construction and Mining
2013;VOLVO;FMX 6X4R;CAMIONES;CABINADO;2013;41000;BRASIL;6X4;0;3;9;17;40;68;71;72;65;96;0;0;441;Europea;RIGID;APLICA;HDV;VOLVO FMX 6X4RCABINADO6X4HDV;Heavy Construction and Mining
2013;VOLVO;FMX 6X4R;CAMIONES;CABINADO;2013;41000;SUECIA;6X4;0;0;0;26;32;15;6;7;4;1;0;0;91;Europea;RIGID;APLICA;HDV;VOLVO FMX 6X4RCABINADO6X4HDV;Heavy Construction and Mining
2013;VOLVO;FMX 6X4R;CAMIONES;VOLQUETE;2011;41000;BRASIL;6X4;0;0;1;0;0;0;0;0;0;0;0;0;1;Europea;RIGID;APLICA;HDV;VOLVO FMX 6X4RVOLQUETE6X4HDV;Heavy Construction and Mining
2013;VOLVO;FMX 6X4R;CAMIONES;VOLQUETE;2013;41000;BRASIL;6X4;0;0;0;1;0;0;0;0;0;0;0;0;1;Europea;RIGID;APLICA;HDV;VOLVO FMX 6X4RVOLQUETE6X4HDV;Heavy Construction and Mining
