ANIO;MARCA;MODELO;CAMIONES_TRACTO;CARROCERIA;ANIOFAB;PESOBRUTO;FORMULA_RODANTE;ENERO;FEBRERO;MARZO;ABRIL;MAYO;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE;TTL;ORIGEN;TIPO;CLASE_FINAL
2013;VOLVO;FM11 6X4T;TRACTOCAMIONES;REMOLCADOR;2013;28100;6X4;0;0;0;0;0;0;6;0;0;0;0;0;6;Europea;TRACTO;HDV
2013;VOLVO;FMX 4X2R;CAMIONES;CABINADO;2012;30000;4X2;0;1;0;0;0;0;0;0;0;0;0;0;1;Europea;RIGID;HDV
2013;VOLVO;FMX 6X4R;CAMIONES;CABINADO;2013;41000;6X4;0;0;0;0;1;0;0;0;0;0;0;0;1;Europea;RIGID;HDV
2013;VOLVO;FMX 6X4R;CAMIONES;CABINADO;2012;41000;6X4;0;0;0;0;0;0;0;0;0;0;1;37;38;Europea;RIGID;HDV
2013;VOLVO;FMX 6X4R;CAMIONES;CABINADO;2012;41000;6X4;74;32;21;41;36;1;6;5;0;3;0;0;219;Europea;RIGID;HDV
2013;VOLVO;FMX 6X4R;CAMIONES;CABINADO;2012;41000;6X4;1;0;0;0;0;0;0;0;0;0;0;0;1;Europea;RIGID;HDV
2013;VOLVO;FMX 6X4R;CAMIONES;CABINADO;2013;41000;6X4;0;0;0;0;0;0;0;0;0;0;2;1;3;Europea;RIGID;HDV
2013;VOLVO;FMX 6X4R;CAMIONES;CABINADO;2013;41000;6X4;0;0;0;0;0;0;0;0;0;0;44;6;50;Europea;RIGID;HDV
2013;VOLVO;FMX 6X4R;CAMIONES;CABINADO;2013;41000;6X4;0;0;0;0;0;0;0;0;0;0;3;3;6;Europea;RIGID;HDV
2013;VOLVO;FMX 6X4R;CAMIONES;CABINADO;2013;41000;6X4;0;0;0;0;0;0;0;0;1;0;0;0;1;Europea;RIGID;HDV
2013;VOLVO;FMX 6X4R;CAMIONES;CABINADO;2013;41000;6X4;0;0;0;0;0;0;0;0;0;5;0;0;5;Europea;RIGID;HDV
2013;VOLVO;FMX 6X4R;CAMIONES;CABINADO;2013;41000;6X4;0;3;9;17;40;68;71;72;65;96;0;0;441;Europea;RIGID;HDV
2013;VOLVO;FMX 6X4R;CAMIONES;CABINADO;2013;41000;6X4;0;0;0;26;32;15;6;7;4;1;0;0;91;Europea;RIGID;HDV
2013;VOLVO;FMX 6X4R;CAMIONES;VOLQUETE;2011;41000;6X4;0;0;1;0;0;0;0;0;0;0;0;0;1;Europea;RIGID;HDV
2013;VOLVO;FMX 6X4R;CAMIONES;VOLQUETE;2013;41000;6X4;0;0;0;1;0;0;0;0;0;0;0;0;1;Europea;RIGID;HDV
2013;VOLVO;FMX 6X4T;TRACTOCAMIONES;REMOLCADOR;2012;28000;6X4;0;0;0;0;0;0;0;0;0;0;0;1;1;Europea;TRACTO;HDV
2013;VOLVO;FMX 6X4T;TRACTOCAMIONES;REMOLCADOR;2012;28000;6X4;1;0;0;0;0;0;0;0;0;0;0;0;1;Europea;TRACTO;HDV
2013;VOLVO;FMX 6X4T;TRACTOCAMIONES;REMOLCADOR;2013;28000;6X4;0;0;0;0;0;0;0;0;0;0;0;2;2;Europea;TRACTO;HDV
2013;VOLVO;FMX 6X4T;TRACTOCAMIONES;REMOLCADOR;2013;28000;6X4;0;0;2;0;0;1;0;0;3;1;0;0;7;Europea;TRACTO;HDV
2013;VOLVO;FMX 6X6R;CAMIONES;CABINADO;2012;34000;6X6;2;0;0;0;0;0;0;0;0;0;0;0;2;Europea;RIGID;HDV
2013;VOLVO;FMX 6X6R;CAMIONES;CABINADO;2013;34000;6X6;0;0;0;0;0;0;0;0;0;1;0;0;1;Europea;RIGID;HDV
2013;VOLVO;FMX 8X4R;CAMIONES;CABINADO;2012;50000;8X4;0;0;0;0;0;0;0;0;0;0;0;13;13;Europea;RIGID;HDV
2013;VOLVO;FMX 8X4R;CAMIONES;CABINADO;2012;50000;8X4;30;8;6;32;1;0;2;0;0;1;0;0;80;Europea;RIGID;HDV
2013;VOLVO;FMX 8X4R;CAMIONES;CABINADO;2013;50000;8X4;0;0;0;0;0;0;0;0;0;0;13;6;19;Europea;RIGID;HDV
2013;VOLVO;FMX 8X4R;CAMIONES;CABINADO;2013;50000;8X4;0;3;0;2;13;1;5;11;5;3;0;0;43;Europea;RIGID;HDV
2013;VOLVO;FMX 8X4R;CAMIONES;CABINADO;2013;50000;8X4;0;0;0;0;0;1;2;0;5;1;0;0;9;Europea;RIGID;HDV
2013;VOLVO;FMX11 6X4R ;CAMIONES;CABINADO;2012;34000;6X4;0;0;0;0;0;0;0;0;0;0;2;0;2;Europea;RIGID;HDV
2013;VOLVO;FMX11 6X4R ;CAMIONES;CABINADO;2012;34000;6X4;0;2;0;0;0;0;0;2;0;0;0;0;4;Europea;RIGID;HDV
2013;VOLVO;FH 6X4T;TRACTOCAMIONES;REMOLCADOR;2011;25000;6X4;0;0;1;0;0;0;0;0;0;0;0;0;1;Europea;TRACTO;HDV
