ANIO;MES;OFICINA;CHASIS;CLASE;SUBCLASE;CARROCERIA;MARCA;MODELO;ORIGEN;FORMULARODANTE; PBV ;FABRICACION
2019;ABRIL;LIMA;842342;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;VOLVO;FH 6X4T;SWEDEN                                                      ;6X4;28,100;2019
2019;ABRIL;LIMA;842934;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;VOLVO;FH 6X4T;SWEDEN                                                      ;6X4;28,100;2019
2019;ABRIL;LIMA;842470;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;VOLVO;FH 6X4T;SWEDEN                                                      ;6X4;28,100;2019
2019;ABRIL;LIMA;842352;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;VOLVO;FH 6X4T;SWEDEN                                                      ;6X4;28,100;2019
2019;ABRIL;LIMA;842371;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;VOLVO;FH 6X4T;SWEDEN                                                      ;6X4;28,100;2019
2019;ABRIL;LIMA;842401;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;VOLVO;FH 6X4T;SWEDEN                                                      ;6X4;28,100;2019
2019;ABRIL;LIMA;842525;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;VOLVO;FH 6X4T;SWEDEN                                                      ;6X4;28,100;2019
2019;ABRIL;LIMA;842333;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;VOLVO;FH 6X4T;SWEDEN                                                      ;6X4;28,100;2019
2019;ABRIL;LIMA;865642;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;VOLVO;FH 6X4T;BRAZIL                                                      ;6X4;28,100;2019
2019;ABRIL;LIMA;865643;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;VOLVO;FH 6X4T;BRAZIL                                                      ;6X4;28,100;2019
2019;ABRIL;LIMA;865576;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;VOLVO;FH 6X4T;BRAZIL                                                      ;6X4;28,100;2019
2019;ABRIL;LIMA;865575;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;VOLVO;FH 6X4T;BRAZIL                                                      ;6X4;28,100;2019
2019;ABRIL;LIMA;163370;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;VM 8X4R;BRAZIL                                                      ;8X4;33,400;2019
2019;ABRIL;LIMA;162749;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;VM 6X4R;BRAZIL                                                      ;6X4;26,700;2018
2019;ABRIL;TRUJILLO;162880;CAMIONES Y TRACTO;CAMIONES;FURGON;VOLVO;VM 4X2R;BRAZIL                                                      ;4X2;17,500;2019
2019;ABRIL;LIMA;842386;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;FMX 6X4R;SWEDEN                                                      ;6X4;41,000;2019
2019;ABRIL;LIMA;842394;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;FMX 6X4R;SWEDEN                                                      ;6X4;41,000;2019
2019;ABRIL;LIMA;842422;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;FMX 6X4R;SWEDEN                                                      ;6X4;41,000;2019
2019;ABRIL;LIMA;842426;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;FMX 6X4R;SWEDEN                                                      ;6X4;41,000;2019
2019;ABRIL;LIMA;842275;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;FMX 6X4R;SWEDEN                                                      ;6X4;41,000;2019
2019;ABRIL;LIMA;842548;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;FMX 6X4R;SWEDEN                                                      ;6X4;41,000;2019
2019;ABRIL;LIMA;842541;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;FMX 6X4R;SWEDEN                                                      ;6X4;41,000;2019
2019;ABRIL;LIMA;842359;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;FMX 6X4R;SWEDEN                                                      ;6X4;41,000;2019
2019;ABRIL;LIMA;842521;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;FMX 6X4R;SWEDEN                                                      ;6X4;41,000;2019
2019;ABRIL;TRUJILLO;842291;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;FMX 6X4R;SWEDEN                                                      ;6X4;41,000;2019
2019;ABRIL;LIMA;842366;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;FMX 6X4R;SWEDEN                                                      ;6X4;41,000;2019
2019;ABRIL;LIMA;842355;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;FMX 6X4R;SWEDEN                                                      ;6X4;41,000;2019
2019;ABRIL;LIMA;842376;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;FMX 6X4R;SWEDEN                                                      ;6X4;41,000;2019
2019;ABRIL;LIMA;842349;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;FMX 6X4R;SWEDEN                                                      ;6X4;41,000;2019
2019;ABRIL;LIMA;842511;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;FMX 6X4R;SWEDEN                                                      ;6X4;41,000;2019
2019;ABRIL;TRUJILLO;842430;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;FMX 6X4R;SWEDEN                                                      ;6X4;41,000;2019
2019;ABRIL;TRUJILLO;842404;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;FMX 6X4R;SWEDEN                                                      ;6X4;41,000;2019
2019;ABRIL;TRUJILLO;842463;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;FMX 6X4R;SWEDEN                                                      ;6X4;41,000;2019
2019;ABRIL;LIMA;842326;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;FMX 6X4R;SWEDEN                                                      ;6X4;41,000;2019
2019;ABRIL;TRUJILLO;842445;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;FMX 6X4R;SWEDEN                                                      ;6X4;41,000;2019
2019;ABRIL;TRUJILLO;842440;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;FMX 6X4R;SWEDEN                                                      ;6X4;41,000;2019
2019;ABRIL;TRUJILLO;842286;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;FMX 6X4R;SWEDEN                                                      ;6X4;41,000;2019
2019;ABRIL;LIMA;842280;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;FMX 6X4R;SWEDEN                                                      ;6X4;41,000;2019
2019;ABRIL;LIMA;842400;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;FMX 6X4R;SWEDEN                                                      ;6X4;41,000;2019
2019;ABRIL;LIMA;842477;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;FMX 6X4R;SWEDEN                                                      ;6X4;41,000;2019
2019;ABRIL;LIMA;842370;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;FMX 6X4R;SWEDEN                                                      ;6X4;41,000;2019
2019;ABRIL;LIMA;387784;MINIBUS,OMNIBUS;BUSES Y CHASISES;OMNIBUS INTERURBANO;VOLVO;B450R 6X2 ;BRAZIL                                                      ;6X2;26,500;2019
2019;ABRIL;LIMA;387778;MINIBUS,OMNIBUS;BUSES Y CHASISES;OMNIBUS INTERURBANO;VOLVO;B450R 6X2 ;BRAZIL                                                      ;6X2;26,500;2019
